STATE/UT,DISTRICT,Change in Crime Pct 2001-2002,Change in Crime Pct 2002-2003,Change in Crime Pct 2003-2004,Change in Crime Pct 2004-2005,Change in Crime Pct 2005-2006,Change in Crime Pct 2006-2007,Change in Crime Pct 2007-2008,Change in Crime Pct 2008-2009,Change in Crime Pct 2009-2010,Change in Crime Pct 2010-2011,Change in Crime Pct 2011-2012,Change in Crime Pct 2012-2013,Change in Crime Pct 2013-2014,rolling_mean_3,rolling_std_3,diff_Change in Crime Pct 2002-2003,diff_Change in Crime Pct 2003-2004,diff_Change in Crime Pct 2004-2005,diff_Change in Crime Pct 2005-2006,diff_Change in Crime Pct 2006-2007,diff_Change in Crime Pct 2007-2008,diff_Change in Crime Pct 2008-2009,diff_Change in Crime Pct 2009-2010,diff_Change in Crime Pct 2010-2011,diff_Change in Crime Pct 2011-2012,diff_Change in Crime Pct 2012-2013,diff_Change in Crime Pct 2013-2014,zscore_mean,zscore_std,STATE_norm,DISTRICT_norm,Predicted Change 2014-2015_RF,Predicted Change 2014-2015_XGB
andhra pradesh,anantapur,0.921579817569027,-0.07097440641348488,-0.6686635645431652,-0.7069854316889019,-0.09527104941584348,-0.4003510149065954,-1.459115944202562,0.421562898259329,0.8810914821297671,-0.5013815727162818,-1.0758132934719773,2.311076668710302,0.4432454106903868,19.72345298129031,35.25089628581818,-20.624674454944564,-12.419618005566754,-0.7963051441312317,12.711053652230124,-6.339376548845703,-22.000492732200048,39.079365079365076,9.548725113517289,-28.72695114280715,-11.936342570427254,70.37751812132714,-38.81240007106058,8.09732165161165,20.779393162209704,andhra pradesh,anantapur,0.18942007479520126,0.30322507
andhra pradesh,chittoor,-0.47005492812212607,-0.043095328548940354,2.424672153912706,-0.258054763352802,0.12663291427231144,1.4897688173009596,-0.6663310954306997,0.3662365827818184,-0.5336549775529232,0.01836398430202724,-0.14497038618532457,-1.0048830665698865,-1.3046299068071199,-9.429516224892064,9.100686589428397,6.454996186117467,37.30898591679081,-40.55885389778007,5.815907393577296,20.60859403092413,-32.597034303676374,15.610892532766389,-13.605026320258109,8.345708345708346,-2.4693735416927436,-13.000604923335228,-4.531727855437165,2.9398669991115804,15.118517519152318,andhra pradesh,chittoor,-0.7310137372190688,0.5961482
andhra pradesh,cuddapah,-0.41795374251361866,-0.432435211861216,0.8708063681228453,-0.6217925982676706,1.671280297832294,0.20597238355793115,-0.07525337214038755,-1.0126655095825057,0.8267607289553652,-1.102394667565149,0.10950976217443809,1.5245940414659263,-1.5464284801782526,10.026983338906136,59.19440097478684,-0.5576933801795771,50.18891277441209,-57.48122257752659,88.3081366764995,-56.43022155421954,-10.83023680293692,-36.10051791037319,70.83782811938151,-74.2933723196881,46.67144346013549,54.496067768702474,-118.2676211642509,8.901500228358024,38.51082834160793,andhra pradesh,cuddapah,-1.0415366898380196,-0.607043
andhra pradesh,east godavari,-0.19469861937652902,1.3615855295281434,-1.1758253424578198,0.0509799473688987,1.1463437335545659,0.295850174762999,-0.3904106554946995,-0.5714063116867333,-1.4695089508582495,2.0113350532121963,-0.6190068705669937,0.055987607765746454,-0.5012252957515246,1.5609803754157525,7.3915126820069625,31.904882688649334,-52.018647276329986,25.150342166810454,22.455702015756465,-17.435695942668715,-14.068813396703247,-3.7105339548861913,-18.41171444514194,71.35966763236534,-53.92379699316188,13.837845525734554,-11.423243198764446,8.833559275731432,20.50067959061608,andhra pradesh,east godavari,-0.2965036365650705,-0.10003586
andhra pradesh,guntur,0.2349089365576665,-0.040526805134425845,-0.49241530551051466,-0.032354970348636325,0.7345970190731357,0.589017717348846,-0.9550486914875865,2.4695975972512674,-1.3789249186065695,-1.3115019585044092,0.3733774549034578,0.01182951105857858,-0.2025555866008094,6.4641155989590535,6.179098528837949,-5.846934100137457,-9.592663123809785,9.766134363149288,16.28081276805175,-3.090349053092357,-32.777353016134406,72.69819466248038,-81.69621485896653,1.4312507234236236,35.76652338710217,-7.67491898006604,-4.5509545361300585,5.1716779365318395,21.227942547389883,andhra pradesh,guntur,0.12264187695947602,-2.4679844
andhra pradesh,krishna,1.0051454302787635,-0.9711841356518244,-0.24570339063032545,-0.3808671571073556,-1.1160056845072504,0.696482932747538,0.1969820928430222,0.2100985921709816,0.08873728656247247,2.5309702387468267,-0.2763855918199739,-0.7536200472197361,-0.984650566413139,-4.895266311716341,6.606961177307576,-36.1510125406508,13.27049089554228,-2.4724150775186695,-13.447151012303657,33.15403456068418,-9.136867372092922,0.2399269534133719,-2.2199405183401772,44.67331542451259,-51.352141660190085,-8.729570755504952,-4.22600933599913,7.388761447613328,18.291996013138874,andhra pradesh,krishna,-0.6071936611239701,0.43097237
andhra pradesh,kurnool,0.6581297513949933,0.3722953197199107,0.13766992996583707,-0.8224380383014789,0.46062785368421466,1.1069237994047312,-0.48538459932243816,0.05498784684369681,0.08671858924876413,-1.0497829852108669,-2.4581901841468037,1.082756385436469,0.8556863312829703,6.084646948045137,40.510895050371985,-5.842074592074592,-4.795430068047192,-19.6233264627783,26.224155723995587,13.209427224452167,-32.544660153208206,11.04449215409052,0.648534058356649,-23.228576533252472,-28.78596488176639,72.37222564414886,-4.641009084234824,9.625628646154086,20.438666391022725,andhra pradesh,kurnool,2.3380605931038736,1.1989229
andhra pradesh,nellore,-0.3316209365317692,-1.4460659426405436,-0.5913115828977452,-0.2762410277818293,1.2448421727043504,0.2897818247543102,-0.26789611002498903,0.09090262835146798,-0.2844820237733291,-1.4745393262586495,2.2498847903245274,0.5096059834172004,0.28713955035699845,22.724189985990304,20.63943627009155,-21.401883315240717,16.414765170227835,6.050637958532696,29.210992907801415,-18.341048695806997,-10.70968780173801,6.890397184514832,-7.208914283853849,-22.853947378857946,71.52411282984531,-33.42044134727062,-4.272261633202151,3.221619545509605,19.204073056927317,andhra pradesh,nellore,0.23460146377338428,0.4137434
andhra pradesh,prakasham,-0.5951734788083324,0.7570004209288733,-1.1920893506461863,0.4544801498734284,1.4829971528199888,0.986965926488142,-1.6359545441570513,-0.04960191536711341,-0.11392404727866506,0.18786414869993537,-0.5212679157517152,1.393011456318193,-1.1543080031194977,5.12844033811606,32.34260905133263,32.97416617804298,-47.53058022812791,40.15330893783933,25.08145629692591,-12.096237096237097,-63.96264229597563,38.68485792312727,-1.5685620518113197,7.3594188785216055,-17.29292255970322,46.6816924495441,-62.11903304773561,7.425316389843701,24.386039535633316,andhra pradesh,prakasham,-0.9388200734876407,-0.4217257
andhra pradesh,srikakulam,-0.48014711528639087,0.4828245254706771,-0.34406216618773744,-0.556998985434267,0.5085177828808933,2.1977033780698405,-0.6652097005328741,-1.620711520292162,0.8140758667209864,0.17266944549121122,-0.513067366117989,1.0007594477904131,-0.9963535925726009,7.110291331551349,26.91607830395644,24.876375649685414,-21.36090315728162,-5.500781207909057,27.52541639627947,43.63660738225043,-73.95742323182817,-24.683408312630092,62.89768369381807,-16.569404957853255,-17.71458867573387,39.10657686839613,-51.59127445113293,11.490363145414703,25.83292653367043,andhra pradesh,srikakulam,-0.9246685003970166,-0.8233626
