state_norm,district_norm,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_mean,lag_std,lag_last,lag_slope
west bengal,uttar dinajpur,-0.6385725618629553,-35.375069784243536,0.5342267957479107,29.649055082554746,-0.11479740008366661,-16.407712032961424,-3.7254783168081542,21.527221200982403,-16.407712032961424,1.6014270881084012
andhra pradesh,anantapur,-0.5013815727162818,-28.72695114280715,-1.0758132934719773,-11.936342570427254,2.311076668710302,70.37751812132714,5.074684368435797,33.97924177286657,70.37751812132714,12.475658646508972
uttar pradesh,kannauj,2.643404859889335,154.55888872469336,-0.6467725046780358,-134.4090359015732,-0.6124008218302953,1.404138513513514,3.8230371450024463,91.51644429433208,1.404138513513514,-17.29921325052414
uttar pradesh,jhansi,1.4952353247787666,109.80310012568077,-0.5509179717012002,-104.72936030617824,0.446286350457316,51.04044302735358,9.584131091731832,70.82611316438833,51.04044302735358,-5.272081289922096
uttar pradesh,jaunpur,-0.13155733602802722,42.7716049382716,0.35060239879428445,15.117224880382775,1.5875683575142494,38.78277511961723,16.413036393092018,19.74020437521937,38.78277511961723,2.45103357192979
uttar pradesh,jalaun,0.3677942349263906,47.68098406936882,1.2623764407142748,27.020072053525478,-0.5793031357018862,-55.62631866843792,3.3542674990658603,34.73443726468684,-55.62631866843792,-11.399820871977782
uttar pradesh,kanpur nagar,-0.4608189466614603,9.597437931240355,-0.3605526601256849,4.566177509705353,-0.5693508485386544,-9.508775331560143,0.5440196090099612,6.360320257681531,-9.508775331560143,-2.023240516971411
uttar pradesh,hathras,-0.31409931268696006,4.834268770517843,-0.5924103186720432,-8.419904723641164,0.5339424870973382,34.07620649501876,5.0196672329389616,14.866103372160024,34.07620649501876,4.320658736665655
uttar pradesh,hardoi,1.205217517483667,65.75991575991576,0.38677992592054306,-22.805158099275747,0.6935121205210713,8.546865715983365,8.96452215675811,29.790595268621413,8.546865715983365,-5.190940227168051
uttar pradesh,hamirpur,0.8861476756608804,69.26391800605637,0.32572277926895343,-21.102741159238334,1.6241758845080758,48.89311656866137,16.648389959152887,34.565499680241615,48.89311656866137,0.4482044046242927
uttar pradesh,gorakhpur,-0.6312800016761261,-26.168796904315197,-0.7072299278807663,-2.7248856073211325,-0.12573758635255647,20.86243122775909,-1.5825831332977813,14.922191876761914,20.86243122775909,5.245145097760673
uttar pradesh,gonda,0.5670452587951976,48.75886524822695,-0.3245457632098199,-35.220125786163514,0.48996488798827353,32.175253991291726,7.741076306154802,29.30615133959149,32.175253991291726,-0.6188924983196314
uttar pradesh,ghazipur,-0.2681497127867641,28.538587848932675,1.4117606351945962,59.42497753818509,1.5008673901649872,3.1520532741398384,15.626682828971738,24.06188965782529,3.1520532741398384,-0.17139798681941618
uttar pradesh,ghaziabad,-1.1364469061084288,-20.312814959614855,-0.2533052289144508,44.940044888288625,1.2581742508089973,76.91399627104141,16.90160805258355,36.43331842559109,76.91399627104141,14.290243818120675
uttar pradesh,kaushambi,-0.3163478393797608,27.288260421269698,-0.21502254371544188,5.224957555178268,1.2404757692389714,75.05447536037548,18.046133120494535,29.842356398454378,75.05447536037548,8.690021204045076
uttar pradesh,gautambudh nagar,-0.6175955153714957,-10.575610829848117,0.1917821249173613,24.853952276097605,1.3207462141652941,34.667648572033855,8.30682047366575,17.433022242611752,34.667648572033855,6.7650703348642045
uttar pradesh,firozabad,1.0281698800516441,67.10526315789474,-0.11660335357152618,-29.669926906402495,1.6287893312523285,45.23662142046543,14.202052254948356,35.27975844156616,45.23662142046543,-0.14115678087683792
uttar pradesh,fatehpur,-0.23297415320202722,-24.167970787689097,-0.02063540796780536,6.793688995855061,0.2739644763211952,9.425599599671157,-1.3213878795019196,11.905799542426015,9.425599599671157,3.6695142560062743
uttar pradesh,fatehgarh,0.738935244852574,79.122760800843,0.027393559961030663,-33.71873821792133,-0.5529417224460748,-27.50109217999126,3.019386247549656,40.24879380858209,-27.50109217999126,-11.827810756341965
uttar pradesh,faizabad,1.589115049369093,81.97752019669828,-0.41475869764794926,-61.21612729556739,0.4606000366151914,26.741241450818524,8.189598456714291,46.4398845380046,26.741241450818524,-5.131185630597762
uttar pradesh,etawah,0.06531918221362215,57.514124293785315,-0.7486810781276184,-37.22566275532377,0.3632215789812639,50.849263012436666,11.802930705660913,35.900177409517056,50.849263012436666,1.314000837985909
uttar pradesh,etah,-0.5490691185363535,-0.18571481632804776,1.6505672316787765,69.73910550458716,0.7223282871576469,-29.42966171617162,6.991259228731262,32.984734920623424,-29.42966171617162,-2.1025798687088812
uttar pradesh,deoria,1.9026871743256428,180.25210084033614,0.28500218632932905,-89.17050691244239,1.6466837077056935,75.05900865460268,28.329162608476185,90.84846529024718,75.05900865460268,-7.414004374150794
uttar pradesh,chandoli,-0.5714399489497602,16.885735623599704,-0.018461670487642263,22.06531332744925,0.25415189448410963,10.87801087801088,8.24888501735109,9.823075830999816,10.87801087801088,0.8410365127255225
uttar pradesh,bulandshahar,0.8859397451659083,-10.049574128293855,-0.661959474923256,-44.73165973851049,0.6477539828317052,37.84849555248708,-2.676834010207152,26.431322182592975,37.84849555248708,4.938144660182722
uttar pradesh,bijnor,-0.4286446765444432,-15.885009059259891,0.578513904515516,24.139577751990185,-0.7016481252953605,-30.682924650498016,-3.8300224758486685,18.38200687444344,-30.682924650498016,-2.347435806297131
uttar pradesh,basti,-0.3808975383499857,-29.276315789473685,2.564953800532804,159.05572755417955,0.28530025936047465,-123.08562478245736,1.5271905839652977,90.88312248462341,-123.08562478245736,-10.524228980582498
